Time,BlockedArrivalTime,BufferUtilizationMean,CraneManipulations,CraneUtilizationMean,DeliveredBlocks,HandoverUtilizationMean,LeadTimeMean,ServiceLevelMean,TardinessMean,TotalBlocksOnTime,UpstreamUtilizationMean
3123000,0.0,0.786493409683845,279,0.7983967773155813,80,0.14279794712365734,1365.121225,0.7999999999999998,37.89137500000002,104,1.0
3124000,0.0,0.786493409683845,279,0.7984613167840241,80,0.14275223547852958,1365.121225,0.7999999999999998,37.89137500000002,104,1.0
3125000,0.0,0.7865911838433469,280,0.7985258149435046,80,0.1427065530899263,1365.121225,0.7999999999999998,37.89137500000002,104,1.0
3126000,0.0,0.7865911838433469,280,0.7985902718336703,80,0.1426608999297692,1365.121225,0.7999999999999998,37.89137500000002,104,1.0
3127000,0.0,0.7866070689840453,280,0.7986546874941179,80,0.14261527597001591,1365.121225,0.7999999999999998,37.89137500000002,104,1.0
3128000,0.0,0.7866070689840453,280,0.7987190619643937,80,0.1425696811826599,1365.121225,0.7999999999999998,37.89137500000002,104,1.0
3129000,0.0,0.7866070689840453,280,0.798783395283993,80,0.1425241155397304,1365.121225,0.7999999999999998,37.89137500000002,104,1.0
3130000,0.0,0.7866070689840453,280,0.7988476874923611,80,0.14247857901329247,1365.121225,0.7999999999999998,37.89137500000002,104,1.0
3131000,0.0,0.7866467605284347,280,0.7989119386288925,81,0.14244724037831882,1380.374074074074,0.7999999999999998,45.37955555555557,104,1.0
3132000,0.0,0.7866467605284347,280,0.7989761487329318,81,0.14272105394821835,1380.374074074074,0.7999999999999998,45.37955555555557,104,1.0
3133000,0.0,0.7866467605284347,280,0.7990403178437728,81,0.14299469271851756,1380.374074074074,0.7999999999999998,45.37955555555557,104,1.0
3134000,0.0,0.786664112929224,280,0.798804008301555,81,0.1432681568565483,1380.374074074074,0.7999999999999998,45.37955555555557,104,1.0
3135000,0.0,0.786664112929224,280,0.798549183618417,81,0.1435414465294289,1380.374074074074,0.7999999999999998,45.37955555555557,104,1.0
3136000,0.0,0.786664112929224,280,0.798294521465537,81,0.1435805450717681,1380.374074074074,0.7999999999999998,45.37955555555557,104,1.0
3137000,0.0,0.786664112929224,280,0.7983453151235634,81,0.14353477338410478,1380.374074074074,0.7999999999999998,45.37955555555557,104,1.0
3138000,0.0,0.786664112929224,280,0.7984095830284536,81,0.143489030870028,1380.374074074074,0.7999999999999998,45.37955555555557,104,1.0
3139000,0.0,0.786664112929224,280,0.7984738099816777,81,0.14344331750165504,1380.374074074074,0.7999999999999998,45.37955555555557,104,1.0
3140000,0.0,0.786664112929224,280,0.798537996022365,81,0.14339763325113863,1380.374074074074,0.7999999999999998,45.37955555555557,104,1.0
3141000,0.0,0.7867278613167407,281,0.7986021411895949,81,0.14335197809066705,1380.374074074074,0.7999999999999998,45.37955555555557,104,1.0
3142000,0.0,0.7867278613167407,281,0.7986662455223972,81,0.14330635199246392,1380.374074074074,0.7999999999999998,45.37955555555557,104,1.0
3143000,0.0,0.786731250346715,281,0.7987303090597518,81,0.14326075492878823,1380.374074074074,0.7999999999999998,45.37955555555557,104,1.0
3144000,0.0,0.786731250346715,281,0.7987943318405893,81,0.14321518687193427,1380.374074074074,0.7999999999999998,45.37955555555557,105,1.0
3145000,0.0,0.786731250346715,281,0.7988583139037905,81,0.14316964779423158,1380.374074074074,0.7999999999999998,45.37955555555557,105,1.0
3146000,0.0,0.786731250346715,281,0.7989222552881868,81,0.14312413766804488,1380.374074074074,0.7999999999999998,45.37955555555557,105,1.0
3147000,0.0,0.7867364828923659,281,0.7989861560325604,81,0.14307865646577397,1380.374074074074,0.7999999999999998,45.37955555555557,105,1.0
3148000,0.0,0.7867486485809323,282,0.799050016175644,81,0.1430332041598538,1380.374074074074,0.7999999999999998,45.37955555555557,105,1.0
3149000,0.0,0.7867497499340274,282,0.7991138357561213,81,0.14298778072275428,1380.374074074074,0.7999999999999998,45.37955555555557,105,1.0
3150000,0.0,0.7867497499340274,282,0.7991776148126267,81,0.1429423861269803,1380.374074074074,0.7999999999999998,45.37955555555557,105,1.0
3151000,0.0,0.7867497499340274,282,0.7992413533837458,81,0.14289702034507162,1380.374074074074,0.7999999999999998,45.37955555555557,105,1.0
3152000,0.0,0.7867536979925145,282,0.799305051508015,82,0.14316187818005435,1379.183,0.8023255813953487,44.82614634146343,105,1.0
3153000,0.0,0.7867565452314845,282,0.7993209692076182,82,0.14343364133528066,1379.183,0.8023255813953487,44.82614634146343,105,1.0
3154000,0.0,0.7867565452314845,282,0.7990675158282721,82,0.1437052321550484,1379.183,0.8023255813953487,44.82614634146343,105,1.0
3155000,0.0,0.7867565452314845,282,0.798814223130943,82,0.1439766508032324,1379.183,0.8023255813953487,44.82614634146343,105,1.0
3156000,0.0,0.7867565452314845,282,0.7988776162020798,82,0.14424789744349983,1379.183,0.8023255813953487,44.82614634146343,105,1.0
3157000,0.0,0.7867565452314845,282,0.7989413286597588,82,0.1445189722393104,1379.183,0.8023255813953487,44.82614634146343,105,1.0
3158000,0.0,0.7867565452314845,282,0.7990050007639806,82,0.14458378796024468,1379.183,0.8023255813953487,44.82614634146343,105,1.0
3159000,0.0,0.7867565452314845,282,0.799068632553071,82,0.14453801745471984,1379.183,0.8023255813953487,44.82614634146343,105,1.0
3160000,0.0,0.7867565452314845,282,0.7991322240653073,82,0.14449227591891872,1379.183,0.8023255813953487,44.82614634146343,105,1.0
3161000,0.0,0.7867681521984928,283,0.7991957753389181,82,0.14444656332534614,1379.183,0.8023255813953487,44.82614634146343,105,1.0
3162000,0.0,0.786770660964283,283,0.799259286412084,82,0.14440087964654166,1379.183,0.8023255813953487,44.82614634146343,105,1.0
3163000,0.0,0.786770660964283,283,0.7993227573229371,82,0.14435522485507962,1379.183,0.8023255813953487,44.82614634146343,105,1.0
3164000,0.0,0.786770660964283,283,0.7993861881095614,82,0.144309598923569,1379.183,0.8023255813953487,44.82614634146343,105,1.0
